CHM076M	CHM077M
29	17
46	25
68	51
32	0
39	0
46	33
159	96
40	15
39	22
105	51
91	56
44	21
33	19
45	26
23	0
20	0
54	44
135	76
104	72
25	0
24	0
63	31
83	46
28	0
40	20
58	40
87	46
96	66
25	18
60	44
103	55
43	20
131	48
32	16
28	17
46	31
28	23
35	20
58	52
97	39
24	0
35	16
41	38
22	15
24	0
26	17
119	60
78	47
33	0
73	38
127	70
125	80
164	69
59	0
35	0
34	22
337	120
22	0
86	43
108	85
43	24
28	0
22	0
20	0
37	0
115	72
126	70
79	37
33	19
123	66
30	18
20	0
23	0
24	0
29	0
111	67
164	72
40	19
30	0
75	52
89	51
114	65
20	0
44	21
21	0
34	17
84	29
80	46
23	0
38	21
74	42
24	0
88	49
70	33
27	0
23	0
20	15
25	23
89	52
27	0
96	43
32	26
131	73
62	37
50	35
38	0
90	55
129	65
27	25
25	0
38	23
110	62
60	38
34	20
104	57
112	59
31	0
29	0
69	27
24	0
72	38
38	16
58	37
53	36
60	37
32	0
57	25
23	15
43	33
102	47
33	24
45	23
41	27
21	15
64	39
20	0
71	32
111	70
29	15
21	0
70	36
69	37
49	19
31	0
27	15
23	0
51	25
46	18
40	22
114	55
94	50
24	0
40	25
91	50
56	21
27	15
23	0
21	15
25	0
158	80
35	0
37	16
33	18
71	37
76	36
27	0
72	40
44	30
56	45
86	40
95	36
70	38
64	31
61	31
119	59
29	18
63	39
23	0
36	26
155	65
122	70
122	44
24	0
55	24
25	0
141	57
103	55
22	0
25	15
30	24
84	38
21	0
63	26
109	65
67	36
89	51
29	23
37	15
38	26
43	30
83	54
63	32
139	62
93	54
33	17
62	38
21	0
109	76
25	0
25	0
83	39
47	32
23	0
248	106
102	54
73	33
23	0
46	24
74	32
23	0
35	20
120	62
85	50
109	40
87	37
20	15
35	0
108	50
76	40
61	47
22	0
38	22
20	0
31	0
109	54
54	29
27	22
26	0
137	68
46	31
51	21
23	0
26	0
101	65
327	145
98	52
78	58
29	0
56	17
35	20
46	23
44	22
32	0
374	169
91	37
55	32
22	0
40	22
30	18
102	64
55	32
98	57
74	34
56	16
23	18
57	28
32	15
48	21
71	40
59	31
22	0
37	18
53	43
27	0
28	21
48	26
67	34
20	17
37	18
145	74
49	17
69	37
56	21
31	0
24	0
22	15
21	0
50	25
54	37
63	50
98	54
36	19
74	51
103	60
25	17
24	17
66	33
94	61
92	67
54	44
40	27
95	51
74	42
22	22
47	24
30	0
97	42
103	43
122	65
67	35
32	22
38	0
81	59
94	42
534	257
24	0
49	20
58	32
256	116
69	33
43	30
20	0
23	0
28	18
136	58
118	65
50	41
53	30
89	66
99	50
46	32
23	0
49	24
105	53
70	38
41	18
53	25
67	34
119	73
153	89
123	64
76	46
32	0
33	22
36	23
64	46
25	18
21	0
27	15
60	33
39	28
21	16
107	55
84	46
72	49
64	49
112	41
31	0
23	0
58	34
25	18
59	31
83	30
83	49
48	26
20	0
63	55
34	15
51	27
29	18
44	22
107	63
71	45
66	45
34	20
31	19
25	17
45	24
73	47
46	17
73	38
139	71
28	0
112	57
52	38
167	74
37	26
68	32
37	15
34	26
71	30
87	46
21	0
22	0
88	46
149	64
32	18
35	23
60	35
33	20
41	23
27	20
35	29
25	0
101	61
68	28
96	63
28	0
97	51
24	20
23	20
29	16
24	0
52	35
24	0
32	17
84	38
24	0
93	67
31	0
60	29
38	26
41	19
26	0
58	32
24	22
71	43
67	34
53	45
99	44
46	31
22	16
104	45
93	50
40	16
38	27
96	37
23	0
63	31
44	22
37	0
46	22
49	36
24	0
42	19
37	28
37	18
65	34
69	44
70	27
37	15
56	23
53	27
48	35
66	22
37	24
21	0
27	0
20	0
79	48
23	0
86	45
29	16
42	25
96	44
69	34
112	69
82	46
91	48
26	22
24	0
21	0
